source	detector	w661			w735			w785			w808			w826			w849		
8	14	1	1.24101E-05	42.3223877	1	1.0279E-06	349.1842651	1	1.79633E-05	36.11724472	1	3.20952E-05	192.2571564	1	2.12558E-05	152.6421509	1	2.3988E-06	64.47382355
8	15	1	2.2701E-06	65.75006866	1	2.9754E-06	21.59145355	1	0.000007071	89.37325287	1	1.21519E-05	247.0227051	1	1.15593E-05	199.1442719	1	3.6327E-06	84.47357178
8	16	1	2.6485E-06	353.0563965	1	6.125E-07	42.80501175	1	1.9919E-06	11.30771446	1	7.9866E-06	178.6972046	1	4.3332E-06	143.1086121	1	7.695E-07	54.810009
8	1	1	4.9716E-06	36.99856949	1	4.117E-07	68.61598969	1	6.4101E-06	31.86065102	1	1.25058E-05	209.4196625	1	1.14651E-05	161.8835144	1	7.195E-07	89.65725708
8	2	1	2.17572E-05	53.30035782	1	7.912E-07	90.66413879	1	2.42756E-05	35.07043457	1	3.06162E-05	209.5188293	1	3.09833E-05	167.5206757	1	4.4982E-06	98.55471802
8	3	1	4.16889E-05	41.22372437	1	3.9216E-06	22.02022171	1	4.39016E-05	22.74547958	1	4.65688E-05	195.8278046	1	3.84016E-05	147.1112976	1	5.6991E-06	59.39297104
8	4	1	2.60568E-05	46.50507736	1	9.483E-07	90.86923981	1	2.81946E-05	27.75440025	1	3.37914E-05	201.0615082	1	3.09472E-05	156.5588379	1	0.000004049	93.06062317
8	5	1	0.000101073	39.07191467	1	2.3809E-06	78.27897644	1	0.000104081	19.93582726	1	0.000132332	195.0452728	1	0.00012138	148.6950531	1	1.92893E-05	88.86383057
8	6	1	0.00026793	33.08133698	1	3.3839E-06	51.06724167	1	0.000794291	12.62022591	1	0.001121855	186.0740814	1	0.00079355	139.911026	1	3.77609E-05	73.00897217
8	7	1	0.00438997	8.078393936	1	3.68538E-05	45.92488098	1	0.010307479	346.0980225	1	0.015826557	159.570282	1	0.015395549	112.7921524	1	0.001259671	46.64431381
9	10	1	0.932576299	106.2750092	1	0.010094617	119.7235565	1	0.528213918	67.92954254	1	0.663813949	237.7684784	1	0.508328497	189.4380646	1	0.025672587	128.6924591
9	11	1	3.32219E-05	317.6260681	1	2.6112E-06	110.5863342	1	0.000004489	246.3082886	1	5.7611E-06	81.88986206	1	1.14307E-05	62.44331741	1	3.4199E-06	156.0301666
9	12	1	0.025246589	146.7763062	1	0.000205498	164.9764862	1	0.010805436	117.4575119	1	0.016432684	289.2913513	1	0.00504828	244.2544403	1	0.000441969	177.9403839
9	13	1	0.004695327	147.4947357	1	2.20858E-05	169.9262238	1	0.002829914	124.8793335	1	0.004427552	297.3430176	1	0.001627	251.9822998	1	6.45117E-05	183.7875061
9	14	1	0.000918808	136.0167389	1	1.74124E-05	158.9043427	1	0.000504115	119.0875244	1	0.000846481	291.0855103	1	0.000385808	240.6929626	1	3.99432E-05	179.407486
9	15	1	0.000686288	133.1048889	1	1.09091E-05	181.0093231	1	0.000273752	110.6034927	1	0.000418677	283.5066223	1	0.000207002	233.4501953	1	2.52612E-05	183.897171
9	16	1	0.001115597	170.4697571	1	1.63093E-05	193.3545074	1	0.000565404	143.5261536	1	0.000873315	314.5170593	1	0.000515255	266.6302795	1	5.24646E-05	206.8786469
9	1	1	0.000387403	152.0654907	1	4.3034E-06	175.2237396	1	0.000155793	124.8458405	1	0.000262369	298.4644775	1	0.000123481	248.6233215	1	1.29259E-05	184.6040039
